entry,uid,your_answer
1,079ce3102a55ea57,-1
2,e2d2b1bb868548f8,CONTRADICTORY
3,e6929fc8fed3efe8,5
4,56dedd5644291605,-15
5,d20429333fdf738f,-5
6,71a59c9f00c164a9,9
7,22f02e1657e860a9,-\frac{35}{9}
8,17f73c3a91150739,5x+2y-3z-0=0
9,efa4617ff08e1134,7
10,5200fa59e0321c36,\frac{1}{2}
11,0e671d5ac09f24dd,10455
12,1591bf088367fe0f,5
13,16c7783fa09babae,-15
14,accc9fea69288a35,9
15,bcc25f28eab1a6e9,9
16,0048cb110f0adb1f,3x - 6y + 4z + 11 = 0
17,0d151e22eef050b7,-5
18,b0008f224937ea2b,7
19,6cd16cc002483b95,-\frac{35}{9}
20,9138a5f8839fe350,-4x + y - 3z = 0
21,3fa4986297e89586,\frac{1}{2}
22,41ec0438e82c16d6,-1
23,632a934dd0fafac9,8
24,877f9aec4d34a202,9
25,69fe1d5fc371fb2b,7y + 6z - 13 = 0
26,2122dbe7a300203f,10455
